"Currency","Frequency","Mean","SD","t_Stat","Sharpe","Skewness","Kurtosis","Positive","N"
"CNX","Weekly",6.13075649919497,52.2004657680038,1.19772291540135,0.117446394567476,9.81810931452028,98.9181783497545,55.7692307692308,104
"COB","Daily",-0.206309113580484,10.1119472740036,-1.02663358449992,-0.0204025108112337,-0.235252648222759,19.4544619779389,46.0900473933649,2532
"COB","Monthly",-6.21874613792599,31.8469582013085,-1.78967640957241,-0.195269705151008,-0.40992653451901,4.47443175896621,45.2380952380952,84
"COB","Weekly",-15.0621084656504,69.8287327179032,-0.431401455515422,-0.215700727757711,1.05583356093446,2.24591243884941,25,4
"CORE","Daily",-0.0937640837459338,27.4912386345015,-0.134408871347964,-0.00341068967435537,2.12557147044537,685.469163584098,45.9755312298777,1553
"CORE","Monthly",-2.85520827563598,154.425944206947,-0.132039118515684,-0.0184891747970127,0.0256294481286215,24.7493484504624,43.1372549019608,51
"CORE","Weekly",6.15279111787936,71.4431406179113,0.959008543627134,0.0861215095622044,9.81805362925296,104.928174997415,46.7741935483871,124
"CTR","Daily",-0.564962033457777,9.14634310017052,-2.14864397437143,-0.0617691712710016,1.63737314734538,25.0641204790311,42.3140495867769,1210
"CTR","Monthly",-17.0901015120978,45.1208980331671,-2.39550401598792,-0.378762441730111,0.240729221122396,3.58718300738374,32.5,40
"CTR","Weekly",17.2704511803408,57.379857177411,0.796330299529778,0.300984562003053,1.41247381574552,3.94542827632902,71.4285714285714,7
"CVC","Daily",-0.056755012559947,7.22136056776053,-0.397343047799308,-0.00785932401898438,1.52669250307116,25.0103074677916,50.8998435054773,2556
"CVC","Monthly",-1.72697395360982,33.227303413562,-0.476354567033807,-0.0519745443111985,0.640282980999164,4.14946156399968,46.4285714285714,84
"CVC","Weekly",0.336298135474374,18.0398798433542,0.325567270584176,0.0186419276843612,1.10063268748325,9.4589104063138,49.5081967213115,305
"CYRUS","Daily",-0.403852741460969,20.8043375213412,-0.327711418893289,-0.0194119491210279,0.706239665631963,24.8841212779666,11.5789473684211,285
"CYRUS","Monthly",-11.5098031316377,38.8387380394394,-0.937136352863833,-0.296348535319297,0.794967258332853,3.02072121359845,20,10
"DAI","Daily",-0.106045015898799,0.99077570759366,-4.62349861099659,-0.107032313253174,-5.5321661456121,61.4479306978327,48.2851018220793,1866
"DAI","Monthly",-3.19161289785741,4.19949289794275,-5.98424278817997,-0.759999594098831,-0.862113978868891,2.58905888802641,25.8064516129032,62
"DAI","Weekly",-0.838719062495995,2.39715623846217,-5.02173491002408,-0.349880850083453,-2.95604484208043,13.0212504387683,41.2621359223301,206
"DAMOON","Daily",-0.587507157855178,6.37220233741258,-1.36129375262031,-0.092198446745138,2.75227297384331,28.3905660954148,42.6605504587156,218
"DAMOON","Monthly",-16.0095700515536,46.3433695151468,-0.977095594538905,-0.34545546038298,0.913608837046737,3.84220325384725,25,8
"DASH","Daily",-0.13014408232629,5.34012131399673,-1.23212204213372,-0.0243709973376776,-0.11267884552127,13.3655154785532,50.7824726134585,2556
"DASH","Monthly",-3.96009850507139,27.9127853142018,-1.30029668875344,-0.141874000050311,0.869488019348159,4.74339340064757,42.8571428571429,84
"DASH","Weekly",-0.908875066737698,14.4799176563309,-1.20082201153415,-0.0627679720499186,0.102093514401955,7.58705853864205,48.0874316939891,366
"DATA","Daily",-0.0579488839708846,7.57569251549629,-0.386725813801146,-0.00764931837615486,3.484074750661,71.7539245640954,49.5305164319249,2556
"DATA","Monthly",-1.76330175511406,34.797165565018,-0.464432296978927,-0.0506737180020986,0.511732661773604,4.07464290250979,44.047619047619,84
"DATA","Weekly",2.79726096237646,24.5645778342492,1.37594193706888,0.113873764949316,1.5676083681514,11.0076647679989,55.4794520547945,146
"DBC","Daily",-0.162235672770167,8.14051423584563,-1.00756932869963,-0.0199294133109902,0.380632920668109,7.2384183386994,46.4006259780908,2556
"DBC","Monthly",-4.93659975714936,49.2651632026401,-0.918391033022104,-0.100204676818869,1.34930179367649,6.0918326967205,38.0952380952381,84
"DBC","Weekly",-4.50473650011944,33.1383398165737,-0.592536961114726,-0.135937301779567,0.216313217818867,1.99358278000986,52.6315789473684,19
"DCN","Daily",-0.213040130509996,21.5373570100297,-0.487308403274278,-0.00989165617725454,-0.101787130010692,9.38140283767849,26.946847960445,2427
"DCN","Monthly",-6.15533805652108,50.5356196191108,-1.11633350039635,-0.121801970628126,0.820509982623876,4.98560138818197,41.6666666666667,84
"DCR","Daily",-0.0770467229388953,5.45044353869589,-0.714665390887679,-0.0141358629608573,0.425228135513482,20.2118680285644,49.0610328638498,2556
"DCR","Monthly",-2.34442171228352,26.8184732240495,-0.801200714722491,-0.0874181648111556,0.377116190317349,3.95560832265921,45.2380952380952,84
"DCR","Weekly",-0.538063999540481,12.9952100959097,-0.792120354194687,-0.0414047941948886,-0.32031672105283,4.2764591492417,48.0874316939891,366
"DENT","Daily",-0.102425637816272,7.66682349809588,-0.675419564622066,-0.0133595925146458,1.21054428076581,21.8729556037532,48.1611893583725,2556
"DENT","Monthly",-3.11666583640943,45.8125053709349,-0.623513470638099,-0.0680308970481836,1.4404850946354,8.47939206120084,39.2857142857143,84
"DENT","Weekly",5.37065735267389,38.2527784918607,0.931302562514396,0.140399143916216,1.45774130262477,5.57821557863832,45.4545454545455,44
"DEXSHARE","Daily",-0.986079929929884,23.3336837425042,-1.30322400429864,-0.042259933785494,-20.2977366756419,551.30127700039,40.9043112513144,951
"DEXSHARE","Monthly",-29.3050629176037,135.250085420813,-1.22568846578768,-0.216673156445151,-4.01935726463799,21.3763896796752,37.5,32
"DEXSHARE","Weekly",0.787079302134635,17.4810893302136,0.14932975148886,0.0450246141568694,0.0632465503988756,1.7756933476501,54.5454545454545,11
"DGB","Daily",-0.0748179213049126,6.36439692913447,-0.594331577039446,-0.0117556969085974,0.236620592539675,10.6163786164131,48.2394366197183,2556
"DGB","Monthly",-2.27660246256376,34.1907649986637,-0.610264386446402,-0.066585303448248,0.974219503092918,4.91216687269756,40.4761904761905,84
"DGB","Weekly",1.36628816859617,20.5184425107737,0.787883369595504,0.066588298204348,0.439321772867265,3.97914611470668,51.4285714285714,140
"DGD","Daily",-0.0335721573628737,18.9911213814787,-0.086151024722168,-0.00176778172749795,-0.657504801376811,21.4659346560787,50.1894736842105,2375
"DGD","Monthly",-1.00928954097245,36.626920388916,-0.244922629810861,-0.0275559487463183,-0.790204032727606,4.18766529109777,54.4303797468354,79
"DGD","Weekly",1.65599271840982,20.3602549602727,1.23349992860697,0.0813345766858531,0.547009091053429,8.0915368518875,50.4347826086956,230
"DNT","Daily",-0.0515976500631332,7.98243479595317,-0.326794672419736,-0.00646389872038685,3.02319911639005,44.5729915093636,47.1048513302034,2556
"DNT","Monthly",-1.57004278049247,38.0982148706826,-0.377699580431643,-0.0412104027924063,1.04827028729077,7.16135266902969,41.6666666666667,84
"DNT","Weekly",3.41626409053164,26.9542661490565,1.41702962589981,0.126742982785722,1.20844390791053,5.73720471072617,52.8,125
"DOGE","Daily",0.139580212523547,6.90635851954394,1.02177473651298,0.020210391934991,5.01130601336766,105.26883596127,48.7871674491393,2556
"DOGE","Monthly",4.24722646678795,41.7282506350436,0.93285658907207,0.101782998380026,2.36888929057426,11.9154151935036,46.4285714285714,84
"DOGE","Weekly",2.3228658324371,19.905140450245,1.98384529112652,0.116696781830972,3.12628406749885,19.6593455366852,46.7128027681661,289
"DOGECAST","Daily",-0.465141416518103,15.97781730587,-0.186405828839131,-0.0291116995277707,-0.118738059532669,2.48525723259828,46.3414634146341,41
"DOGECAST","Monthly",-9.535399038621,60.0699287950817,-0.224489872279677,-0.158738310996662,NA,NA,50,2
"DRGN","Daily",-0.144385368212825,8.9779801587265,-0.813064441739014,-0.0160821661064248,0.388199594810143,10.2989169581025,47.1048513302034,2556
