"week","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB"
2024-12-29,2194853509147551,58745004978316.1,10636505936.0513,1749402657.22961,12986.3300673376
2025-01-05,1783610510116472,38638742109589.8,20518474572.5163,498137253.234826,8929.3260577417
2025-01-12,5266933570000376,107174008106166,38800956565.9859,2903914758.77309,18726.5444105378
2025-01-19,2501527870231598,45593600953418.9,10276292517.2164,530962297.369553,3890.23960172428
2025-01-26,2794001094312958,62109332229677.5,14096191902.1254,486448130.768712,5343.16646699236
2025-02-02,2165792413177788,44905240627873.1,9686594904.2878,250526400.707588,4233.08976531248
2025-02-09,1663478237562594,29098578814774.4,12796336263.0147,441432501.554697,3126.98666410512
2025-02-16,1772571215272840,45338826954764.9,6141605325.49926,229965010.269418,2381.35237798766
2025-02-23,2511325633595044,35766112239425.7,7231024917.24591,247420757.011845,2257.27296496125
2025-03-02,1568540707033084,23188958404515.7,8650036256.67515,182553104.87228,2361.57310938531
2025-03-09,1151324878798494,12508758725848.4,8708416371.04762,128760213.03823,1565.93158335211
2025-03-16,826857741171037,12111963773413.2,4213992154.48108,73340300.1817984,1370.83896055078
2025-03-23,1401631155568143,22283754189032.4,8377497608.24009,190024556.36806,2374.92938723479
2025-03-30,1200866086105918,11512560319345.4,4479882532.02767,102680857.037839,1315.11645451679
2025-04-06,2068899740028062,19904766247814.8,7402750651.72602,145453316.083781,1897.43635061608
2025-04-13,1298008190525984,11561654712399.5,3017530724.09928,75159563.2478616,1133.75000810171
2025-04-20,1666999821014814,21728446113036.5,5537463422.16819,266975566.287977,4057.82766165805
2025-04-27,1512707948287651,15302388670230.1,3124431038.56617,101541565.174391,1403.66359618085
2025-05-04,4426216720362604,78159379006179.9,10810227099.0724,805453141.821471,10274.3209331872
2025-05-11,3910792812906598,46620203701049.5,7115634996.19951,321973308.16854,2878.87395348727
2025-05-18,4948005047968677,28801031431070.3,3491250920.78221,275662831.199206,2262.2709370298
2025-05-25,4080660041661266,35389124889025.8,5839828355.06174,294535100.376582,2930.62129697219
2025-06-01,4051947020398350,29469925157322.5,2670864066.20606,154849451.286964,1220.76967924205
2025-06-08,4008781553116188,36190250049637.4,4285177757.64222,138808847.07487,1377.32557271718
