"week","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
2015-08-30,255377.5,16479,0,-769753.300421286,0.167397623904084
2015-09-06,276094,52927.5,0,162304.641039937,0.667218698903278
2015-09-13,221522,-65151,0,379972.409728654,-0.78707071937552
2015-09-20,250309.5,5223.5,0,-92335.0624926949,0.278913817385566
2015-09-27,241211,9863,0,-362979.78933006,-0.00735847595378611
2015-10-04,209703,-15293.5,0,211187.455090385,-0.400255370215584
2015-10-11,307347,21267,0,511400.767245735,0.773536985858066
2015-10-18,293170.5,4932.5,0,-279689.30065421,-0.0920468678380147
2015-10-25,300958.5,25741.5,0,402202.88804212,0.237618819449916
2015-11-01,358682,308,0,4645233.79646699,0.710823288518496
2015-11-08,328381,-16419,0,-3661360.68532041,-0.446418465009461
2015-11-15,322051,-3010,0,-608638.774815785,-0.116636460648719
2015-11-22,362429.5,26195.5,0,-271383.66097203,0.419836047126917
2015-11-29,329534,-73.5,0,2156509.5307712,-0.173656066561885
2015-12-06,445120,30555,0,-72254.2674395498,0.928863858479203
2015-12-13,403056.5,2992.5,0,13722.2942761849,-0.328434515253249
2015-12-20,358875,-15455,0,-1361908.23048413,-0.440828678557513
2015-12-27,263121,-67586.5,0,-1103689.06966288,-1.48811130580273
2016-01-03,390146,55876,0,119395.928930639,1.18407085080479
2016-01-10,400935,16161.5,0,12950.4518490951,0.235378714969878
2016-01-17,418045,26317,0,28039832.6994872,1.33183490588015
2016-01-24,410455,1947.5,0,-21967862.2118194,-1.14432765376347
2016-01-31,419675,-238,0,-5243118.67276752,-0.145131935118542
2016-02-07,419765.5,-13348.5,0,108044.05686813,-0.123343417949533
2016-02-14,440326.5,14530,0,1466520.93667142,0.279288610248945
2016-02-21,391078,-21702.5,0,1946113.5465004,-0.521628055977653
2016-02-28,411654,31357,0,-2863512.82364334,0.234941090977894
2016-03-06,344315.5,-64896.5,0,-850149.25358793,-1.21311686084111
2016-03-13,376566,33567,0,-173997.97437587,0.423892031268709
2016-03-20,332910,-31353.5,0,-288235.65050641,-0.675762016587745
2016-03-27,349858,11194,0,258565.975389685,0.188316342275083
2016-04-03,385129.5,19619,0,567541.745657805,0.499629729741816
2016-04-10,388767,21039.5,0,323617.64411331,0.175926456462849
2016-04-17,360541,-13185.5,0,98952.2692246949,-0.358845201732
2016-04-24,370399,4736,0,-577277.510393685,0.0677033919241562
2016-05-01,378669,-4354,0,-252092.04628566,0.0106010114236992
2016-05-08,400904.5,22751,0,-410702.69007332,0.276963066637101
2016-05-15,352825,-24713,0,-29266.9403951999,-0.638151777710784
2016-05-22,378992,-16342,0,1035040.10727642,0.0832599385406038
2016-05-29,390718,19039,0,-977335.803034315,0.220637828112747
2016-06-05,441869.5,31760.5,0,-44413.82930011,0.534573992829065
2016-06-12,456749,9898.5,0,261100.578362405,0.223735683795018
2016-06-19,410558,-46833,0,509039.298235775,-0.602141538201623
2016-06-26,360390.5,-6299.5,0,-653002.54940376,-0.515625811995974
2016-07-03,378930,16199,0,-120490.74691336,0.219000227996146
2016-07-10,367025,-737.5,0,263220.28454039,-0.0987063370263661
2016-07-17,338444,-20285,0,-86824.7457824901,-0.32912241091545
2016-07-24,359053,18132.5,0,72260.6568441798,0.338675657615125
2016-07-31,398446.5,19636.5,0,-623066.46186921,0.354846800857531
2016-08-07,389404,-592,0,426936.80661879,-0.0652915543051463
2016-08-14,399739,-24749,0,212517.276817505,-0.105206526830652
2016-08-21,370182.5,-3414.5,0,-63486.1366617347,-0.287296952502441
2016-08-28,404081,27765,0,-784355.68456804,0.371016248008086
2016-09-04,380834,-12040.5,0,246755.666543445,-0.299257787683091
2016-09-11,394081,-5005,0,264443.509171045,0.0525088234050382
2016-09-18,393004,1900,0,433753.38157749,0.024738283560993
2016-09-25,466284,32268.5,0,-717253.29556038,0.651643643089411
